"Control code","Control name","Control description","Control question","Control activities","Control owners","Control approvers","Required approvals stage","Is ready","Scope","NIST SP 800-53"
"DCF-558","Allow-by-Exception Rule for Authorized Applications","Montage Marketing Group has a deny-all, allow-by-exception rule in place for authorized software applications and implements procedures to allow execution.","Does the organization implement an allow-by-exception rule for authorized applications?","1. Develop and maintain a list of authorized applications (e.g. allowlists)
2. Implement an allow-by-exception rule
3. Review and update list on regular intervals","Jon Brown","Jon Brown","Needs approval","Not ready","In scope","SC-07-05, CM-07-00, CM-07-02, CM-07-05, CM-11-00"
"DCF-603","Alternate Processing Site","Montage Marketing Group has an alternate processing site that is prepared to serve as the operational site for essential mission and business functions support.","Does the organization have an alternate processing site?","1. Establish an alternate processing site.
2. Establish configuration settings for systems at the alternate processing site consistent with the requirements for the primary site, along with considerations for essential supplies and logistics.",,,"No approvals assigned","Ready","Out of scope",
"DCF-154","Annual Incident Response Test","Montage Marketing Group performs a test of all components of the incident response plan and procedures at least annually through different mechanisms including simulated events. The documented plan and procedures are updated if necessary based on the results of the test.",,,"Jon Brown",,"No approvals assigned","Ready","In scope","IR-02-03, IR-03-00, IR-07-00, IR-08-00, CP-04-00, CP-04-01, IR-03-02, IR-04-01, PM-14-00"
"DCF-19","Annual Penetration Tests","Montage Marketing Group engages with third-party to conduct penetration tests of the production environment at least annually. Results are reviewed by management and high priority findings are tracked to resolution.","Does the organization perform application-level penetration testing of custom-made applications and services?","1. Conduct independent 3rd party penetration testing on systems and web applications
2. Upload results to ""Reports & Docs"" in Drata",,,"No approvals assigned","Not ready","Out of scope",
"DCF-120","Annual Review of Purposes","Montage Marketing Group's management reviews privacy policies and procedures annually to ensure that personal information is used in conformity with the purposes identified in the privacy notice.","Does the organization review its privacy policies and procedures annually?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","PM-22-00"
"DCF-16","Annual Risk Assessment","Montage Marketing Group conducts a Risk Assessment at least annually.","Does the organization conduct an annual assessment of risk that includes the likelihood and magnitude of harm, from unauthorized access, use, disclosure, disruption, modification or destruction of the organization's systems and data?","1. Conduct risk assessment at least annually
2. Review results of risk assessments
3. Link identified risks to controls and plan for new controls
4. Review and implement risk remediation plan
5. Upload risk assessment report to ""Reports & Docs"" in Drata","Jon Brown",,"No approvals assigned","Not ready","In scope","AU-03-03, CA-01-00, CA-02-00, CA-02-01"
"DCF-291","Anti-Virus Capability","An anti-malware solution is deployed on all system components, except for those system components identified through periodic risk assessments that concludes the system components are not at risk from malware.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","CM-08-03, SI-03-00"
"DCF-110","Application Edits","Montage Marketing Group's application edits limit input to acceptable value ranges","Does the organization limit input forms within the application to acceptable value ranges?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","SI-10-00"
"DCF-635","Approved PIV Products","Montage Marketing Group only allows information technology products approved under the Federal Information Processing Standards (FIPS) 201 to be used for Personal Identity Verification (PIV) capabilities.","Does the organization only employ information technology products on the FIPS 201-approved products list for Personal Identity Verification (PIV) capabilities?","Only allow FIPS 201-approved products for Personal Identity Verification (PIV) capabilities.","Jon Brown",,"No approvals assigned","Not ready","In scope","IA-08-02, SA-04-10"
"DCF-21","Architectural Diagram","Montage Marketing Group maintains an accurate architectural diagram to document system boundaries to support the functioning of internal control.","Does the organization maintain network architectural diagrams that: (a) contain sufficient detail to assess the security of the network's architecture; (b) reflect the current state of the network environment; and (c) document all sensitive data flows?","Upload architectural diagram to ""Reports & Docs"" in Drata","Jon Brown","Jon Brown","Approved","Not ready","In scope","AC-06-00, AC-18-00, SC-07-08, PL-08-00"
"DCF-20","Asset Inventory","A centralized asset register is maintained for physical, cloud, and other information assets and includes business description, owner, and other attributes deemed relevant by the organization.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","CM-08-00, CM-08-01, CM-12-00, CP-02-08, CP-03-00, PM-05-01, RA-09-00, SA-22-00"
"DCF-182","Asset Management Policy","Montage Marketing Group has a defined policy that establishes requirements for the proper management and tracking of organizational assets.","Does the organization have a policy for the proper management and tracking of asset under its ownership, management, or control?","1. Develop and implement an asset management policy that outlines the processes necessary to maintain and protect assets under the company's direct control
2. Develop standards for asset inventory, ownership, and retirement
3. Develop standards for system hardening, capacity management, and management of media","Jon Brown",,"No approvals assigned","Not ready","In scope","AC-02-00, AC-04-00, AC-05-00, AC-19-00, SC-07-08, CM-01-00, MP-06-00, CM-03-00, CM-08-00, CM-08-01, CM-09-00, CM-10-00, CM-12-00, CP-02-08, CP-03-00, CP-04-00, CP-04-01, CP-06-00, CP-06-01, MP-03-00, MP-04-00, MP-05-00, MP-07-00, PS-04-00, PM-31-00, CA-03-00, RA-02-00, SA-22-00"
"DCF-442","Audit Logs Available for Analysis","Montage Marketing Group has the three most current months' logs, at the least, immediately available for analysis.","Are at least the last three months’ logs immediately available for analysis?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","AU-06-03, AU-07-00"
"DCF-407","Audit Logs Data Points","Montage Marketing Group has configured audit logs to trace each action to an individual user. Audit logs contain user identification, type of event, date and time, success and failure indication, origination of event, identity or name of affected data, and system component, resource, or service.",,,,,"No approvals assigned","Not ready","Out of scope",
"DCF-410","Audit Trail Access Logging","Montage Marketing Group ensures that automated audit trails are implemented for all system components to reconstruct access to all audit trails.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","AU-03-01"
"DCF-420","Audit Trail Entries: Affected Item Name","Montage Marketing Group ensures that audit trail entries are recorded for all system components for identity or name of affected data, system component, or resource.","Are the audit trail entries recorded for all system components for identity or name of affected data, system component, or resource?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","AU-03-00"
"DCF-417","Audit Trail Entries: Date and Time","Montage Marketing Group ensures that audit trail entries are recorded for all system components for date and time.","Are the audit trail entries recorded for all system components for date and time?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","AU-03-00, AU-08-00"
"DCF-416","Audit Trail Entries: Event Type","Montage Marketing Group ensures that audit trail entries are recorded for all system components for type of event.","Are the audit trail entries recorded for all system components for type of event?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","AU-03-00, AU-07-01"
"DCF-419","Audit Trail Entries: Origination","Montage Marketing Group ensures that audit trail entries are recorded for all system components for origination of an event.","Are the audit trail entries recorded for all system components for origination of event?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","AU-03-00, AU-07-00, AU-07-01"
"DCF-415","Audit Trail Entries: User Identification","Montage Marketing Group ensures that audit trail entries are recorded for all system components for user identification.","Are the following audit trail entries recorded for all system components for user identification?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","AU-03-00"
"DCF-430","Audit Trail Files Protected","Audit log files are protected to prevent modifications by individuals (e.g., via access control mechanisms, physical segregation, network segregation, etc.)",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","AU-07-00"
"DCF-409","Audit Trail for Admin Privileged Access","Automated audit trails or logs are implemented for all system components to capture all actions taken by any individual with administrative access, including any interactive use of application or system accounts.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","AC-06-05"
"DCF-412","Audit Trail for Identification and Authentication Mechanism Changes","Automated audit trails or logs are implemented to capture all changes to identification and authentication credentials (e.g., creation of new accounts, elevation of privileges, changes, additions, or deletions to accounts with administrative access, etc.).",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","AC-02-04"
"DCF-411","Audit Trail for Invalid Access Attempts","Automated audit trails or logs are implemented for all system components to capture all invalid access attempts.",,,,,"No approvals assigned","Not ready","Out of scope",
"DCF-413","Audit Trail of Changes to Audit Logs","Automated audit trails or logs are implemented for all system components to capture initialization of new audit logs and all starting, stopping, or pausing of the existing audit logs.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","AU-09-00"
"DCF-406","Audit Trails Enabled and Active","Audit logs are enabled and active for all system components and sensitive data in accordance with company policies.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","AC-02-04, AU-03-01, AU-07-00"
"DCF-359","Authentication Mechanism Use","Montage Marketing Group ensures that where other authentication mechanisms are used, use of these mechanisms are assigned as follows: Authentication mechanisms must be assigned to an individual account and not shared among multiple accounts; physical and/or logical controls must be in place to ensure only the intended account can use that mechanism to gain access.","Where other authentication mechanisms are used (for example, physical or logical security tokens, smart cards, and certificates, etc.), is the use of these mechanisms assigned as follows?
Authentication mechanisms must be assigned to an individual account and not shared among multiple accounts
Physical and/or logical controls must be in place to ensure only the intended account can use that mechanism to gain access",,"Jon Brown",,"No approvals assigned","Not ready","In scope","AC-12-00, IA-05-02"
"DCF-356","Authentication Policy Inclusions","Montage Marketing Group has documented policies and procedures for authentication that are communicated to all personnel. These documents include guidance on selecting strong authentication factors, guidance on protecting authentication credentials, instructions not to reuse previously used credentials, instructions to change authentication credentials in the event of known or suspected compromise along with guidance on how to report the incident, etc.",,,"Jon Brown",,"No approvals assigned","Ready","In scope","AC-02-00"
"DCF-58","Authentication Protocol","Username and password (password standard implemented) or SSO required to authenticate into application, MFA optional for external users, and MFA required for employee users.","Does the organization enforce an authentication protocol with regard to passwords, usernames, MFA?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","AC-18-00, IA-07-00, IA-11-00, IA-12-03"
"DCF-610","Authenticators Protected","Montage Marketing Group protects authenticators based on the highest security category of  information on the system.","Are authenticators protected  with the security category of the information to which use of the authenticator permits access?","1. Determine the highest security category of system information.
2. Protect authenticators at the determined level.","Jon Brown",,"No approvals assigned","Not ready","In scope","IA-05-06"
"DCF-656","Authoritative Source Information","Montage Marketing Group provides authoritative source information for external name/address resolution queries.","Has the organization implemented a name/address resolution service?","1. Provide additional data origin authentication and integrity verification artifacts along with the authoritative name resolution data that the system returns in response to external name/address resolution queries.
2. Provide the means to indicate the security status of child zones and to enable verification of a chain of trust among parent and child domains, when operating as part of a distributed, hierarchical namespace.","Jon Brown",,"No approvals assigned","Not ready","In scope","SC-20-00"
"DCF-596","Authorized to Modify Logs","Montage Marketing Group only allows authorized personnel to modify log settings/configurations.","Does the organization define log activities and personnel authorized to change logs?","1. Identify individual/role authorized to change log system components.
2. Define system, event criteria, and time threshold which logging is performed.",,,"No approvals assigned","Not ready","Out of scope",
"DCF-97","Auto-Scale Configuration","Montage Marketing Group  automatically provisions new server instances when predefined capacity thresholds are met.","Does the organization automatically provision new server instances when predefined capacity thresholds are met?",,,,"No approvals assigned","Not ready","Out of scope",
"DCF-579","Automated Access Management System in Place","Montage Marketing Group has an access management system in place using automated mechanisms to manage accounts (e.g., create, enable, modify,  monitor, report, disable, and remove).","Does the organization define automated mechanisms to support the management of system accounts?","1. Define the automated mechanisms used to support the management of system accounts.
2. Ensure that the system accounts are properly managed by the automated mechanisms.","Jon Brown",,"No approvals assigned","Ready","In scope","AC-02-00, AC-02-01"
"DCF-600","Automated Configuration Change Management","Montage Marketing Group uses automated configuration change management tools to notify, document, prohibit, and highlight system changes.","Does the organization utilize automated change management tools?","1. Define the approval authorities who need to be notified, or request approvals from, for proposed changes.
2. Define the personnel who need to be notified upon approval and completion of changes.
3. Identify and implement automated tools that will: notify approval authorities of pending approvals; highlight proposed changes that have not been explicitly approved or disapproved within a specified timeframe; prohibit changes to the system until approvals are received; document all changes to the system; and, notify personnel when approved changes are complete.",,,"No approvals assigned","Not ready","Out of scope",
"DCF-614","Automated Maintenance Activities","Montage Marketing Group utilizes automated maintenance tools to perform maintenance activities.","Does the organization utilize automated maintenance tools?","1. Define automated maintenance tools for maintenance activities
2. Maintain an up-to-date maintenance record of actions.",,,"No approvals assigned","Not ready","Out of scope",
"DCF-488","Automatic Disconnect of Inactive Remote-Access","Montage Marketing Group has included automatic disconnect of sessions for remote-access technologies after a specific period of inactivity in critical technologies usage policy.","Automatic disconnect of sessions for remote-access technologies after a specific period of inactivity included in critical technologies usage policy?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","AC-12-00, AC-17-00, AC-17-01, SC-10-00"
"DCF-39","Background Checks","Background checks are conducted on eligible personnel (employees and third parties as deemed necessary by the organization) prior to hire as permitted by local laws.",,,"Jon Brown",,"No approvals assigned","Ready","In scope","PS-03-00"
"DCF-100","Backup Integrity and Completeness","Montage Marketing Group tests the integrity and completeness of back-up information on an annual basis.","Does the organization routinely test backups that verifies the reliability of the backup process, as well as the integrity and availability of the data?",,"Jon Brown",,"No approvals assigned","Ready","In scope","IR-07-00, CP-04-01, CP-09-01, CP-10-00, CP-10-02"
"DCF-169","Backup Policy","Montage Marketing Group has a defined backup policy that establishes the requirements for backup information, software and systems.","Does the organization have an established backup plan to ensure the confidentiality, integrity, and availability of information?","1. Establish and maintain a backup policy that defines information retention and protection requirements
2. Ensure backup records are accurate and complete
3. Adjust frequency of backups as appropriate to organization and security requirements
4. Store backups in a remote location and provide appropriate physical and environmental protection to the backup site
5. Regularly test the reliability and availability of backups in preparation for emergencies","Jon Brown",,"No approvals assigned","Ready","In scope","CP-04-01, CP-06-00, CP-06-01, CP-07-00, CP-07-01, CP-07-02, CP-07-03, CP-09-00, CP-09-01, CP-09-08, CP-10-00, CP-10-02"
"DCF-597","Baseline Configurations","Montage Marketing Group uses automated tools to maintain completeness, currency, accuracy, and availability of baseline configurations.","Are automated tools implemented to manage baseline configuration activities?","1. Identify the automated tools used to maintain the completeness, currency, accuracy, and availability of the baseline system configuration.
2. Set baselines for change management, configuration management tools, hardware, software, firmware inventory tools, and network management tools.","Jon Brown",,"No approvals assigned","Not ready","In scope","CM-02-02"
"DCF-560","Baselines for Detecting Anomalous Behavior","Montage Marketing Group has established baselines for normal behavior of networks, systems, and applications for the detection of anomalies.","Does the organization have established baselines of infrastructure activity and behavior?","1. Determine usage of network, system and application at normal and peak periods
2. Determine time, location and frequency of access for each user or group
2. Implement monitoring system configuration to detect anomalous behavior
3. Define threshold for anomalous behavior; log events that exceed the threshold and alert appropriate members","Jon Brown",,"No approvals assigned","Not ready","In scope","CM-02-02, CM-08-03"
"DCF-26","BCP/DR Tests Conducted Annually","Montage Marketing Group conducts annual BCP/DR tests and documents according to the BCDR Plan.","Does the organization conduct tests and/or exercises to determine the contingency plan's effectiveness and the organization’s readiness to execute the plan?","Upload BCP/DR test results to ""Reports & Docs"" in Drata","Jon Brown",,"No approvals assigned","Ready","In scope","IR-07-00, CP-01-00, CP-02-00, CP-02-01, CP-02-03, CP-04-00, CP-04-01, CP-06-00, CP-06-01, CP-07-00, CP-07-01, CP-07-02, CP-07-03, IR-03-02"
"DCF-166","Business Continuity Plan","Montage Marketing Group has a defined Business Continuity Plan that outlines the proper procedures to respond, recover, resume, and restore operations following a disruption or significant change.","Does the organization have a defined Business Continuity Plan that outlines the proper procedures to respond, recover, resume, and restore operations following a disruption or significant change?","1. Establish, document, and implement procedures to ensure continuity of information security during an adverse situation or significant change
2. Ensure a proper management structure in place
3. Ensure incident response personnel have the necessary authority and competence to manage adverse situations
4. Document plans and procedures for the management of adverse or disruptive events and maintenance of information security
5. Document processes and procedures for maintenance of security controls, or compensating controls for controls that cannot be maintained during an adverse event","Jon Brown",,"No approvals assigned","Ready","In scope","IR-01-00, IR-02-00, IR-02-03, IR-05-00, IR-06-00, IR-07-00, IR-08-00, CP-01-00, CP-02-00, CP-02-01, CP-02-03, CP-03-00, CP-04-00, CP-04-01, CP-06-00, CP-06-01, CP-08-00, CP-08-01, CP-08-02, CP-09-08, IR-03-02, IR-06-01, IR-06-03, IR-07-01, PE-17-00, CA-05-00"
"DCF-167","Business Impact Analysis","Montage Marketing Group has a Business Impact Analysis process to determine resources and time required to ensure business continuity after a disruptive incident.","Does the organization have an established process to determine resources and timeframe required for business continuity?","1. Develop and maintain a Business Impact Analysis
2. Determine maximum acceptable outage/recovery time
3. Determine maximum data loss/recovery point
4. Determine required resources and information to develop business continuity strategies
5. Determine relationship and dependencies between supporting resources for impacted business activities","Jon Brown",,"No approvals assigned","Ready","In scope","IR-07-00, IR-08-00, CP-01-00, CP-02-00, CP-02-03, CP-02-08, CP-10-00, IR-07-01"
"DCF-480","Change Detection Mechanism Alert Response","Montage Marketing Group has implemented a process to respond to any alerts generated by the change-detection solution.","Is a process in place to respond to any alerts generated by the change-detection solution?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","SI-07-07"
"DCF-478","Change Detection Mechanism in Place","Montage Marketing Group has deployed a file integrity monitoring or change-detection mechanism to detect unauthorized modification (including changes, additions, and deletions) of critical system files, configuration files, audit files, or content files to ensure critical data cannot be changed without generating alerts.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","AU-09-00, CM-06-00, SI-07-00, CA-07-04"
"DCF-567","Change Management Policy","Montage Marketing Group has a defined Change Management Policy that covers policies and procedures to manage changes across the organization in a well-communicated, planned and predictable manner that minimizes unplanned outages and unforeseen system issues.","Does the organization have policies and procedures for change management?","1. Document and maintain a Change Management Policy
2. Implement each section of the Change Management Policy","Jon Brown",,"No approvals assigned","Not ready","In scope","CM-02-02, CM-02-03, CM-03-02, PM-04-00"
"DCF-5","Change Review Process","Changes are peer-reviewed and approved prior to deployment by an individual different from the developer to maintain segregation of duties. Review requirements are enforced through automated mechanisms such as branch protection settings in the production code repository.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","CM-04-02, SA-15-00"
"DCF-231","Changes in Encryption Keys for Wireless Environments","For wireless environments connected to the environment or transmitting account data, encryption keys are changed whenever personnel with knowledge of the key leave the company or change roles and whenever a key is suspected of or known to be compromised.",,,,,"No approvals assigned","Ready","Out of scope",
"DCF-421","Clock Synchronization","Montage Marketing Group synchronizes all critical system clocks and times using time-synchronization technology such as Network Time Protocol (NTP).",,,"Jon Brown","Jon Brown","Approved","Ready","In scope","AU-08-00"
"DCF-155","Code Changes are Tested","Montage Marketing Group ensures that code changes are tested prior to deployment to ensure quality and security.","Does the organization test code changes prior to deployment in order to ensure quality and security?","1. Code changes are tested to ensure (a) security functions (e.g., access restriction and user authentication), (b) secure coding, and (c) secure configurations of operating systems, firewalls and other security components.
2. Code changes go through a QA (Quality Assurance) phase prior to being shipped to production","Jon Brown",,"No approvals assigned","Not ready","In scope","CM-04-02"
"DCF-539","Collection of PII from Special Categories","Montage Marketing Group's record of processing activity (ROPA) includes conditions for allowable collection of special categories of personal data.","Does the organization have an established record of processing activity for personal data?","1. The ROPA outlines allowable conditions to collect special categories of personal data (e.g., racial or ethnic origin, political opinions, religious or philosophical beliefs, or trade union membership; genetic and/or biometric data for the purpose of uniquely identifying a natural person; data concerning health or a person's sex life or sexual orientation)
2. The allowable conditions include: (a) data subject explicit consent; (b) employment/social security obligations as permitted by law; (c) protection of data subject's vital interests; (d) in course of legitimate activities with appropriate safeguards; (e) data made public by data subject; (f) establishment of legal claims; (g) substantial public interest; (h) medical purposes; (i) public health interest; (j) archiving purposes for public interest or scientific/historical research","Jon Brown",,"No approvals assigned","Not ready","In scope","PT-07-00, PT-07-01, PT-07-02"
"DCF-188","Communication with Security and Privacy Organizations","Montage Marketing Group exchanges information with relevant security and privacy organizations, including information on newly identified threats and vulnerabilities, through bulletin subscriptions, email alerts from security advisories, participation in conferences, etc.",,,,,"No approvals assigned","Not ready","Out of scope",
"DCF-153","Conduct Control Self-Assessments","Montage Marketing Group performs control self-assessments at least annually to gain assurance that controls are in place and operating effectively. Corrective actions are taken based on relevant findings.","Does the organization provide a security controls oversight function?","1. Conduct annual self-assessment of controls
2. Take corrective action based on findings","Jon Brown",,"No approvals assigned","Not ready","In scope","IR-07-00, CA-02-00, CA-02-01, PL-10-00, PL-11-00"
"DCF-187","Configuration Management Plan","Montage Marketing Group has a defined Configuration Management Plan that outlines the proper procedures to manage and protect new and existing configurations.","Does the organization have a configuration management plan?","1. Establish, document, and implement procedures to ensure new and existing configurations are properly managed for hardware, software, services, and networks
2. Ensure proper roles and responsibilities are in place to support configuration management
3. Review and update plan periodically
4. Maintain change logs","Jon Brown",,"No approvals assigned","Not ready","In scope","CM-06-00, CM-09-00, SA-10-00"
"DCF-138","Confirmation Before Submission","As personal information is collected, users are asked to confirm that their information is correct prior to submitting the information to Montage Marketing Group.","Does the organization ask to confirm if personal information being input is correct prior to submitting forms?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","SI-18-00, SI-18-04"
"DCF-139","Contact Information for Privacy Concerns","Montage Marketing Group informs users about how to contact Montage Marketing Group with inquiries, complaints, and disputes via the privacy practices that are posted on the Montage Marketing Group's public-facing website.","Does the organization inform its users about to contact how the company with inquiries, complaints, and disputes via the privacy practices?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","PM-26-00"
"DCF-160","Continuous Control Monitoring","Montage Marketing Group conducts continuous monitoring of security controls using Drata, and addresses issues in a timely manner.","Does the organization have a process in place for the continuous monitoring of security controls in place and the timely addressing of issues?","1. Use Drata to continuously monitor security controls
2. Remediate control issues alerted by Drata in a timely manner","Jon Brown",,"No approvals assigned","Ready","In scope","AU-01-00, AU-02-00, AC-02-04, AU-03-01, SI-04-00, SI-04-02, CA-07-00, CA-07-04, PM-06-00, PM-31-00, CA-07-01"
"DCF-40","Contractor Requirements","Montage Marketing Group requires its contractors to read and acknowledge the Code of Conduct, read and acknowledge the Acceptable Use Policy, and pass a background check.","Does the organization define acceptable and unacceptable rules of behavior for the use of technologies, including consequences for unacceptable behavior?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","PS-07-00"
"DCF-633","Corrective Actions for Discoverable Information","Montage Marketing Group has a process to implement corrective actions when system information is discoverable.","Does the organization take corrective actions when system information is discoverable?","1. Define the corrective actions to be taken if system information is discoverable.
2. Ensure corrective actions are taken when information about the system is confirmed as discoverable.",,,"No approvals assigned","Not ready","Out of scope",
"DCF-593","Correlate Log Records","Montage Marketing Group analyzes audit records in correlation with other information, including vulnerability scanning, performance, system monitoring, and physical monitoring.","Are audit records analyzed in correlation with other relevant information?","1. Define data/information collected from other sources (e.g., vulnerability scanning, performance, system and physical monitoring).
2. Analyze audit records in correlation with information from the other sources.",,,"No approvals assigned","Not ready","Out of scope",
"DCF-93","Credential Keys Managed","Montage Marketing Group has an established key management process in place to support the organization's use of cryptographic techniques.","Does the organization have an established key management process?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","IA-02-12"
"DCF-76","Critical Change Management","Montage Marketing Group authorizes designated member(s) with the autonomy to validate, change, and release critical security patches and bug fixes, outside of the standard change management process, when absolutely necessary to ensure security standards and availability of the systems.","Does the organization have a process in place to allow critical changes outside of the standard change management process, to ensure security standards and system availability?","1. Designate authorized member(s)
2. Authorized member(s) can change and release critical security patches and bug fixes","Jon Brown",,"No approvals assigned","Not ready","In scope","CM-03-04, CM-04-02, CM-05-00, SI-02-00, SI-02-02"
"DCF-444","Critical Security Control System Failure Alert","Montage Marketing Group has implemented alerting mechanisms to notify personnel of failures of critical security control systems (including network security controls, IDS/IPS, change-detection mechanisms, anti-malware solutions, physical access controls, logical access controls, audit logging mechanisms, segmentation controls, audit log review mechanisms, automated security testing tools, etc.). Failures of critical security control systems are evaluated as a security event and investigated in accordance with company policies and procedures.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","AU-05-00, SI-02-02"
"DCF-443","Critical Security Control System Failure Detection and Reporting","Montage Marketing Group has implemented processes for the timely detection and reporting of failures of critical security control systems, including but not limited to failure of: Firewalls, IDS/IPS, FIM, anti-virus, physical access controls, logical access controls, audit logging mechanisms, segmentation controls (if used).","Are processes implemented for the timely detection and reporting of failures of critical security control systems, including but not limited to failure of:
Firewalls 
IDS/IPS 
FIM 
Anti-virus 
Physical access controls 
Logical access controls 
Audit logging mechanisms 
Segmentation controls (if used)",,"Jon Brown",,"No approvals assigned","Not ready","In scope","AU-05-00, SI-02-02"
"DCF-446","Critical Security Control System Failure Documentation","Montage Marketing Group documents failures in critical security controls, and includes: Identification of cause(s) of the failure, including root cause; duration (date and time start and end) of the security failure; details of the remediation required to address the root cause.","Are failures in critical security controls documented, including:
Identification of cause(s) of the failure, including root cause
Duration (date and time start and end) of the security failure
Details of the remediation required to address the root cause?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","SI-02-02"
